WORK_ORDER_ID,PRODUCT_FAMILY,PRODUCT_SERIES,SERIAL_NUMBER,START_DATE,COMPLETION_DATE,STATUS
WO-01420,Excavator,HD-Series,EXC-H-19376,2023-05-04,2023-05-21,completed
WO-01421,Excavator,HD-Series,EXC-H-68984,2020-12-24,2021-01-06,quality_hold
WO-01422,Excavator,HD-Series,EXC-H-55935,2023-10-07,2023-10-25,completed
WO-01423,Bulldozer,HD-Series,BUL-H-42819,2020-06-29,2020-07-09,completed
WO-01424,Excavator,Standard,EXC-S-16468,2024-02-05,2024-02-14,completed
WO-01425,Bulldozer,HD-Series,BUL-H-78839,2024-01-17,2024-01-31,completed
WO-01426,Grader,Standard,GRA-S-39722,2022-04-23,2022-05-13,completed
WO-01427,Loader,Compact,LOA-C-15630,2021-03-12,2021-03-26,completed
WO-01428,Grader,Standard,GRA-S-71481,2020-07-23,2020-07-30,completed
WO-01429,Bulldozer,Compact,BUL-C-17884,2023-09-18,2023-10-06,completed
WO-01430,Grader,HD-Series,GRA-H-50679,2024-10-13,2024-10-20,completed
WO-01431,Grader,Standard,GRA-S-92350,2020-03-05,2020-03-22,completed
WO-01432,Excavator,HD-Series,EXC-H-43226,2023-10-27,2023-11-13,quality_hold
WO-01433,Grader,Standard,GRA-S-42743,2024-12-27,2025-01-09,quality_hold
WO-01434,Grader,HD-Series,GRA-H-10312,2024-05-07,2024-05-13,quality_hold
WO-01435,Grader,HD-Series,GRA-H-98251,2023-01-18,2023-01-23,completed
WO-01436,Excavator,Standard,EXC-S-36399,2024-06-05,2024-06-17,completed
WO-01437,Loader,HD-Series,LOA-H-33349,2024-05-20,2024-05-25,completed
WO-01438,Grader,HD-Series,GRA-H-83305,2020-07-12,2020-07-18,completed
WO-01439,Loader,Compact,LOA-C-97864,2020-04-29,2020-05-07,completed
WO-01440,Bulldozer,Standard,BUL-S-32247,2021-10-25,2021-11-11,completed
WO-01441,Bulldozer,Compact,BUL-C-84629,2022-02-18,2022-02-26,completed
WO-01442,Bulldozer,Standard,BUL-S-48507,2023-06-03,2023-06-19,completed
WO-01443,Grader,Compact,GRA-C-85696,2023-08-19,2023-08-24,completed
WO-01444,Excavator,HD-Series,EXC-H-39268,2022-12-13,2022-12-30,completed
WO-01445,Bulldozer,Compact,BUL-C-54743,2020-04-24,2020-05-06,completed
WO-01446,Excavator,HD-Series,EXC-H-45019,2021-01-18,2021-01-28,quality_hold
WO-01447,Excavator,Standard,EXC-S-86800,2024-10-28,2024-11-06,completed
WO-01448,Loader,Compact,LOA-C-26731,2022-12-12,2023-01-01,completed
WO-01449,Grader,HD-Series,GRA-H-49373,2020-06-04,2020-06-12,completed
WO-01450,Loader,Standard,LOA-S-75298,2024-07-06,2024-07-11,completed
WO-01451,Excavator,Compact,EXC-C-97632,2020-03-03,2020-03-20,completed
WO-01452,Loader,HD-Series,LOA-H-62968,2022-09-25,2022-10-15,completed
WO-01453,Grader,Standard,GRA-S-70732,2023-04-05,2023-04-13,completed
WO-01454,Excavator,HD-Series,EXC-H-43144,2023-11-04,2023-11-16,completed
WO-01455,Excavator,Compact,EXC-C-76197,2022-04-09,2022-04-18,completed
WO-01456,Bulldozer,HD-Series,BUL-H-36276,2023-07-25,2023-08-04,completed
WO-01457,Grader,Compact,GRA-C-20623,2024-03-22,2024-04-08,completed
WO-01458,Bulldozer,HD-Series,BUL-H-49993,2024-02-20,2024-02-29,completed
WO-01459,Excavator,HD-Series,EXC-H-46527,2024-07-08,2024-07-26,completed
WO-01460,Grader,HD-Series,GRA-H-90808,2024-10-06,2024-10-17,completed
WO-01461,Bulldozer,HD-Series,BUL-H-55587,2023-05-26,2023-06-03,completed
WO-01462,Excavator,HD-Series,EXC-H-23329,2020-07-09,2020-07-21,completed
WO-01463,Grader,Compact,GRA-C-53732,2020-06-13,2020-06-28,completed
WO-01464,Bulldozer,HD-Series,BUL-H-12416,2021-01-17,2021-01-29,completed
WO-01465,Loader,HD-Series,LOA-H-82675,2024-07-14,2024-07-22,quality_hold
WO-01466,Loader,Standard,LOA-S-62056,2024-10-24,2024-11-12,completed
WO-01467,Bulldozer,Standard,BUL-S-75974,2024-01-26,2024-02-13,completed
WO-01468,Loader,Standard,LOA-S-50393,2022-07-14,2022-07-28,completed
WO-01469,Excavator,Compact,EXC-C-62583,2021-07-28,2021-08-08,completed
WO-01470,Bulldozer,HD-Series,BUL-H-84664,2024-02-19,2024-03-08,completed
WO-01471,Loader,HD-Series,LOA-H-62459,2023-07-28,2023-08-15,completed
WO-01472,Bulldozer,Compact,BUL-C-26510,2022-01-11,2022-01-17,quality_hold
WO-01473,Grader,Standard,GRA-S-42720,2024-03-05,2024-03-17,completed
WO-01474,Bulldozer,HD-Series,BUL-H-41552,2024-12-09,2024-12-18,completed
WO-01475,Loader,Compact,LOA-C-72624,2021-06-24,2021-06-30,completed
WO-01476,Grader,Standard,GRA-S-28781,2020-07-23,2020-08-06,quality_hold
WO-01477,Excavator,Compact,EXC-C-61055,2021-11-29,2021-12-06,quality_hold
WO-01478,Grader,Standard,GRA-S-49581,2020-08-30,2020-09-08,completed
WO-01479,Excavator,Compact,EXC-C-56336,2022-12-19,2022-12-27,quality_hold
WO-01480,Grader,Compact,GRA-C-45152,2021-02-02,2021-02-11,quality_hold
WO-01481,Loader,Compact,LOA-C-52090,2020-08-31,2020-09-07,quality_hold
WO-01482,Bulldozer,Standard,BUL-S-81573,2023-04-01,2023-04-18,quality_hold
WO-01483,Bulldozer,HD-Series,BUL-H-87014,2022-10-25,2022-11-03,quality_hold
WO-01484,Grader,Standard,GRA-S-12182,2024-03-22,2024-04-08,completed
WO-01485,Excavator,Compact,EXC-C-88137,2022-10-19,2022-10-24,completed
WO-01486,Bulldozer,Standard,BUL-S-18504,2024-05-23,2024-06-07,completed
WO-01487,Loader,Compact,LOA-C-24885,2020-02-19,2020-03-09,completed
WO-01488,Grader,Compact,GRA-C-82326,2023-08-16,2023-08-27,quality_hold
WO-01489,Bulldozer,Compact,BUL-C-99533,2021-10-28,2021-11-08,completed
WO-01490,Loader,HD-Series,LOA-H-89391,2023-03-04,2023-03-18,completed
WO-01491,Loader,Compact,LOA-C-71053,2024-02-04,2024-02-24,quality_hold
WO-01492,Excavator,Standard,EXC-S-16555,2021-10-15,2021-10-31,quality_hold
WO-01493,Bulldozer,Compact,BUL-C-60673,2021-05-31,2021-06-09,completed
WO-01494,Grader,HD-Series,GRA-H-54072,2022-03-01,2022-03-14,completed
WO-01495,Grader,Compact,GRA-C-62183,2024-11-12,2024-11-26,quality_hold
WO-01496,Bulldozer,HD-Series,BUL-H-76931,2022-03-21,2022-04-09,completed
WO-01497,Loader,HD-Series,LOA-H-79668,2020-03-26,2020-04-11,completed
WO-01498,Excavator,Compact,EXC-C-16402,2023-09-13,2023-10-02,completed
WO-01499,Grader,Compact,GRA-C-29925,2021-03-16,2021-03-26,completed
WO-01500,Loader,Compact,LOA-C-86434,2024-04-11,2024-04-27,completed
WO-01501,Grader,Standard,GRA-S-54192,2021-10-04,2021-10-20,completed
WO-01502,Bulldozer,Compact,BUL-C-16213,2020-03-19,2020-03-27,quality_hold
WO-01503,Grader,Compact,GRA-C-68153,2022-05-15,2022-05-28,quality_hold
WO-01504,Excavator,HD-Series,EXC-H-71517,2024-01-10,2024-01-21,completed
WO-01505,Grader,Compact,GRA-C-36203,2023-11-16,2023-11-29,completed
WO-01506,Grader,HD-Series,GRA-H-12771,2023-11-21,2023-11-27,completed
WO-01507,Excavator,Compact,EXC-C-54346,2022-05-07,2022-05-22,quality_hold
WO-01508,Excavator,HD-Series,EXC-H-99421,2021-01-10,2021-01-17,completed
WO-01509,Bulldozer,Standard,BUL-S-35826,2024-12-31,2025-01-18,completed
WO-01510,Grader,HD-Series,GRA-H-78557,2020-11-28,2020-12-03,quality_hold
WO-01511,Grader,Compact,GRA-C-63636,2020-08-16,2020-08-28,completed
WO-01512,Grader,HD-Series,GRA-H-88462,2022-02-20,2022-03-09,completed
WO-01513,Loader,Standard,LOA-S-26008,2022-04-02,2022-04-09,quality_hold
WO-01514,Bulldozer,Compact,BUL-C-46312,2024-01-16,2024-01-26,completed
WO-01515,Grader,Compact,GRA-C-14473,2024-07-04,2024-07-11,quality_hold
WO-01516,Loader,Standard,LOA-S-72682,2020-05-06,2020-05-11,completed
WO-01517,Loader,HD-Series,LOA-H-47194,2024-11-16,2024-11-23,completed
WO-01518,Loader,HD-Series,LOA-H-41746,2022-04-14,2022-04-20,completed
WO-01519,Loader,HD-Series,LOA-H-45947,2025-01-04,2025-01-17,completed
WO-01520,Loader,Standard,LOA-S-81262,2024-08-10,2024-08-29,quality_hold
WO-01521,Bulldozer,HD-Series,BUL-H-98584,2022-10-02,2022-10-15,quality_hold
WO-01522,Loader,HD-Series,LOA-H-73648,2024-05-19,2024-05-28,completed
WO-01523,Grader,Standard,GRA-S-36441,2020-02-20,2020-02-29,completed
WO-01524,Excavator,Standard,EXC-S-57156,2020-08-12,2020-08-30,completed
WO-01525,Grader,HD-Series,GRA-H-75146,2021-12-21,2021-12-28,completed
WO-01526,Loader,Compact,LOA-C-19399,2020-03-28,2020-04-12,completed
WO-01527,Grader,Standard,GRA-S-42977,2022-11-24,2022-12-13,quality_hold
WO-01528,Bulldozer,HD-Series,BUL-H-38350,2025-01-10,2025-01-20,completed
WO-01529,Excavator,Standard,EXC-S-95408,2021-08-09,2021-08-15,completed
WO-01530,Loader,Standard,LOA-S-98109,2024-08-15,2024-08-23,quality_hold
WO-01531,Grader,HD-Series,GRA-H-78954,2024-04-05,2024-04-23,completed
WO-01532,Loader,HD-Series,LOA-H-12138,2024-08-18,2024-09-07,completed
WO-01533,Bulldozer,Compact,BUL-C-65069,2022-06-23,2022-07-12,completed
WO-01534,Bulldozer,Compact,BUL-C-53764,2024-10-04,2024-10-21,completed
WO-01535,Grader,Compact,GRA-C-27321,2024-10-31,2024-11-09,completed
WO-01536,Excavator,Standard,EXC-S-90157,2020-03-13,2020-03-28,completed
WO-01537,Grader,Standard,GRA-S-73620,2022-01-19,2022-02-06,completed
WO-01538,Excavator,Standard,EXC-S-36503,2024-08-03,2024-08-08,completed
WO-01539,Grader,Compact,GRA-C-42006,2021-01-07,2021-01-19,completed
WO-01540,Loader,Standard,LOA-S-77159,2022-07-01,2022-07-07,completed
WO-01541,Excavator,Compact,EXC-C-18034,2023-03-11,2023-03-30,completed
WO-01542,Bulldozer,HD-Series,BUL-H-70845,2021-10-12,2021-10-18,completed
WO-01543,Loader,Compact,LOA-C-48022,2023-12-22,2024-01-03,completed
WO-01544,Loader,HD-Series,LOA-H-51354,2021-11-09,2021-11-21,quality_hold
WO-01545,Grader,Compact,GRA-C-62194,2024-02-14,2024-02-29,quality_hold
WO-01546,Loader,Compact,LOA-C-55616,2024-09-26,2024-10-01,completed
WO-01547,Bulldozer,Standard,BUL-S-76677,2024-12-22,2025-01-08,completed
WO-01548,Grader,HD-Series,GRA-H-63728,2022-03-05,2022-03-21,completed
WO-01549,Excavator,HD-Series,EXC-H-84308,2020-01-29,2020-02-03,completed
WO-01550,Excavator,Standard,EXC-S-15748,2022-08-30,2022-09-13,completed
WO-01551,Grader,Compact,GRA-C-45148,2021-04-16,2021-04-25,quality_hold
WO-01552,Bulldozer,Compact,BUL-C-17253,2023-12-16,2023-12-29,completed
WO-01553,Excavator,Standard,EXC-S-78265,2023-08-24,2023-09-05,completed
WO-01554,Grader,Compact,GRA-C-45592,2024-07-17,2024-08-05,completed
WO-01555,Bulldozer,Standard,BUL-S-21415,2024-06-16,2024-07-01,completed
WO-01556,Grader,HD-Series,GRA-H-62219,2022-06-10,2022-06-25,completed
WO-01557,Bulldozer,HD-Series,BUL-H-81515,2023-05-02,2023-05-10,completed
WO-01558,Grader,HD-Series,GRA-H-40844,2021-06-30,2021-07-18,completed
WO-01559,Excavator,HD-Series,EXC-H-52895,2020-12-16,2020-12-29,completed
WO-01560,Bulldozer,Standard,BUL-S-59240,2022-07-01,2022-07-07,completed
WO-01561,Bulldozer,Standard,BUL-S-59625,2024-05-03,2024-05-23,completed
WO-01562,Grader,HD-Series,GRA-H-28247,2022-01-01,2022-01-13,completed
WO-01563,Grader,HD-Series,GRA-H-65796,2021-06-17,2021-06-27,completed
WO-01564,Excavator,Compact,EXC-C-66487,2023-11-08,2023-11-27,completed
WO-01565,Excavator,Compact,EXC-C-61561,2024-03-16,2024-03-25,completed
WO-01566,Loader,HD-Series,LOA-H-72714,2020-01-18,2020-02-02,completed
WO-01567,Bulldozer,Compact,BUL-C-72303,2024-04-15,2024-04-23,quality_hold
WO-01568,Grader,HD-Series,GRA-H-49221,2022-04-28,2022-05-09,completed
WO-01569,Loader,Standard,LOA-S-99056,2020-10-27,2020-11-07,quality_hold
WO-01570,Loader,HD-Series,LOA-H-73812,2022-06-27,2022-07-07,completed
WO-01571,Grader,Standard,GRA-S-76632,2020-07-11,2020-07-18,completed
WO-01572,Excavator,Compact,EXC-C-48893,2022-04-15,2022-04-20,completed
WO-01573,Bulldozer,Standard,BUL-S-92399,2023-06-04,2023-06-22,quality_hold
WO-01574,Loader,Standard,LOA-S-18520,2023-09-10,2023-09-16,completed
WO-01575,Loader,HD-Series,LOA-H-65250,2023-02-01,2023-02-11,completed
WO-01576,Bulldozer,Standard,BUL-S-82545,2020-10-19,2020-11-07,completed
WO-01577,Bulldozer,Compact,BUL-C-94134,2024-03-19,2024-03-26,quality_hold
WO-01578,Bulldozer,HD-Series,BUL-H-62356,2020-08-07,2020-08-21,completed
WO-01579,Grader,Standard,GRA-S-35627,2023-06-13,2023-06-18,completed
WO-01580,Bulldozer,Compact,BUL-C-16989,2020-12-22,2021-01-10,quality_hold
WO-01581,Grader,HD-Series,GRA-H-70812,2020-03-14,2020-03-21,completed
WO-01582,Loader,HD-Series,LOA-H-79137,2021-05-18,2021-05-29,completed
WO-01583,Loader,Compact,LOA-C-95003,2024-01-03,2024-01-23,completed
WO-01584,Excavator,Standard,EXC-S-22301,2024-12-18,2024-12-30,quality_hold
WO-01585,Loader,Standard,LOA-S-82597,2022-03-06,2022-03-22,quality_hold
WO-01586,Bulldozer,Standard,BUL-S-76747,2024-11-08,2024-11-27,completed
WO-01587,Excavator,HD-Series,EXC-H-56638,2024-11-14,2024-11-28,completed
WO-01588,Grader,HD-Series,GRA-H-43551,2022-06-24,2022-07-02,completed
WO-01589,Excavator,Standard,EXC-S-49661,2021-05-17,2021-06-06,completed
WO-01590,Bulldozer,Compact,BUL-C-22950,2022-11-02,2022-11-09,completed
WO-01591,Grader,Standard,GRA-S-32268,2021-10-01,2021-10-10,completed
WO-01592,Bulldozer,HD-Series,BUL-H-86765,2020-07-30,2020-08-05,completed
WO-01593,Grader,HD-Series,GRA-H-48970,2022-05-02,2022-05-17,completed
WO-01594,Excavator,HD-Series,EXC-H-24202,2022-02-23,2022-03-14,completed
WO-01595,Bulldozer,Compact,BUL-C-40715,2021-07-22,2021-08-04,completed
WO-01596,Bulldozer,HD-Series,BUL-H-84093,2020-11-11,2020-11-16,quality_hold
WO-01597,Grader,Standard,GRA-S-76120,2024-08-04,2024-08-24,completed
WO-01598,Loader,Compact,LOA-C-85298,2023-03-15,2023-03-26,completed
WO-01599,Bulldozer,Standard,BUL-S-21411,2023-09-28,2023-10-05,completed
WO-01600,Loader,Compact,LOA-C-86438,2022-05-17,2022-05-27,completed
WO-01601,Loader,Compact,LOA-C-68586,2023-01-05,2023-01-24,completed
WO-01602,Grader,Standard,GRA-S-51320,2020-09-24,2020-10-06,completed
WO-01603,Loader,HD-Series,LOA-H-42451,2022-09-17,2022-09-30,completed
WO-01604,Bulldozer,Standard,BUL-S-86802,2024-08-22,2024-09-02,completed
WO-01605,Grader,Standard,GRA-S-13582,2020-01-19,2020-02-01,completed
WO-01606,Bulldozer,Standard,BUL-S-62996,2023-05-16,2023-06-02,completed
WO-01607,Excavator,Compact,EXC-C-61312,2022-12-31,2023-01-11,completed
WO-01608,Bulldozer,HD-Series,BUL-H-41782,2023-10-22,2023-11-02,completed
WO-01609,Loader,HD-Series,LOA-H-60773,2024-12-08,2024-12-21,completed
WO-01610,Excavator,Standard,EXC-S-59530,2024-07-13,2024-08-02,quality_hold
WO-01611,Excavator,Compact,EXC-C-14501,2022-05-14,2022-06-03,completed
WO-01612,Excavator,Standard,EXC-S-48212,2023-01-14,2023-01-25,completed
WO-01613,Excavator,HD-Series,EXC-H-42457,2023-07-05,2023-07-10,completed
WO-01614,Bulldozer,HD-Series,BUL-H-60604,2021-07-14,2021-07-21,completed
WO-01615,Loader,Standard,LOA-S-66860,2023-07-11,2023-07-16,quality_hold
WO-01616,Excavator,Standard,EXC-S-83416,2020-12-27,2021-01-04,quality_hold
WO-01617,Excavator,Standard,EXC-S-67185,2023-09-30,2023-10-09,completed
WO-01618,Excavator,Standard,EXC-S-76735,2020-07-05,2020-07-17,quality_hold
WO-01619,Excavator,Compact,EXC-C-31082,2023-11-12,2023-11-30,quality_hold
WO-01620,Grader,Compact,GRA-C-89488,2022-05-01,2022-05-11,completed
WO-01621,Loader,Standard,LOA-S-93761,2023-03-29,2023-04-06,completed
WO-01622,Loader,HD-Series,LOA-H-56314,2022-05-24,2022-06-12,completed
WO-01623,Bulldozer,Standard,BUL-S-71901,2023-01-27,2023-02-07,completed
WO-01624,Bulldozer,HD-Series,BUL-H-98085,2023-05-21,2023-06-10,completed
WO-01625,Bulldozer,HD-Series,BUL-H-90526,2023-01-11,2023-01-23,completed
WO-01626,Bulldozer,Standard,BUL-S-69626,2020-09-03,2020-09-16,quality_hold
WO-01627,Bulldozer,Compact,BUL-C-81710,2023-04-12,2023-04-23,completed
WO-01628,Loader,Compact,LOA-C-42064,2021-03-11,2021-03-17,quality_hold
WO-01629,Bulldozer,Compact,BUL-C-69610,2024-08-13,2024-08-26,completed
WO-01630,Bulldozer,Compact,BUL-C-28123,2023-10-08,2023-10-21,completed
WO-01631,Excavator,HD-Series,EXC-H-77377,2024-02-28,2024-03-14,completed
WO-01632,Grader,Standard,GRA-S-76926,2023-03-14,2023-04-03,completed
WO-01633,Bulldozer,Compact,BUL-C-75864,2024-03-19,2024-03-27,quality_hold
WO-01634,Excavator,Standard,EXC-S-22674,2023-05-07,2023-05-13,quality_hold
WO-01635,Excavator,Compact,EXC-C-14683,2020-07-05,2020-07-18,completed
WO-01636,Loader,Compact,LOA-C-18664,2021-07-17,2021-07-28,quality_hold
WO-01637,Excavator,Standard,EXC-S-98001,2020-03-28,2020-04-17,completed
WO-01638,Bulldozer,Compact,BUL-C-42449,2024-12-15,2025-01-04,completed
WO-01639,Grader,Standard,GRA-S-85021,2024-08-27,2024-09-07,quality_hold
WO-01640,Grader,Standard,GRA-S-87744,2021-08-10,2021-08-16,completed
WO-01641,Excavator,Compact,EXC-C-42002,2022-12-27,2023-01-10,completed
WO-01642,Loader,Standard,LOA-S-57799,2021-02-24,2021-03-06,completed
WO-01643,Bulldozer,Standard,BUL-S-42752,2023-01-30,2023-02-07,completed
WO-01644,Loader,Compact,LOA-C-67296,2022-10-04,2022-10-24,completed
WO-01645,Excavator,Standard,EXC-S-18214,2023-11-14,2023-11-29,completed
WO-01646,Grader,HD-Series,GRA-H-40992,2022-01-30,2022-02-07,completed
WO-01647,Grader,HD-Series,GRA-H-37357,2023-05-25,2023-06-01,completed
WO-01648,Bulldozer,Standard,BUL-S-61822,2024-01-04,2024-01-18,completed
WO-01649,Excavator,Compact,EXC-C-68065,2024-03-16,2024-03-30,completed
WO-01650,Excavator,Standard,EXC-S-61138,2021-10-10,2021-10-16,completed
WO-01651,Loader,HD-Series,LOA-H-99870,2022-11-15,2022-11-30,completed
WO-01652,Excavator,HD-Series,EXC-H-73079,2022-10-06,2022-10-26,quality_hold
WO-01653,Loader,Standard,LOA-S-76205,2024-12-27,2025-01-02,completed
WO-01654,Bulldozer,Standard,BUL-S-64176,2022-12-14,2022-12-27,quality_hold
WO-01655,Bulldozer,Compact,BUL-C-74669,2025-01-08,2025-01-21,completed
WO-01656,Loader,HD-Series,LOA-H-43736,2023-09-15,2023-10-03,completed
WO-01657,Grader,Compact,GRA-C-77597,2020-09-04,2020-09-13,completed
WO-01658,Excavator,HD-Series,EXC-H-10347,2021-04-03,2021-04-10,completed
WO-01659,Loader,Compact,LOA-C-53166,2024-03-25,2024-04-01,completed
WO-01660,Loader,HD-Series,LOA-H-19275,2023-03-02,2023-03-13,completed
WO-01661,Loader,HD-Series,LOA-H-60320,2020-11-09,2020-11-19,completed
WO-01662,Grader,HD-Series,GRA-H-52001,2023-09-04,2023-09-22,completed
WO-01663,Loader,Standard,LOA-S-12397,2020-05-26,2020-06-10,completed
WO-01664,Grader,Standard,GRA-S-54680,2020-03-17,2020-04-02,quality_hold
WO-01665,Grader,HD-Series,GRA-H-44679,2023-07-23,2023-07-31,completed
WO-01666,Grader,Compact,GRA-C-68285,2024-03-13,2024-03-21,completed
WO-01667,Bulldozer,Compact,BUL-C-27063,2023-10-20,2023-10-27,completed
WO-01668,Bulldozer,HD-Series,BUL-H-48581,2021-10-03,2021-10-17,completed
WO-01669,Loader,HD-Series,LOA-H-37816,2021-07-07,2021-07-14,quality_hold
WO-01670,Grader,HD-Series,GRA-H-90474,2022-05-20,2022-06-06,quality_hold
WO-01671,Loader,HD-Series,LOA-H-49367,2024-01-16,2024-02-03,quality_hold
WO-01672,Excavator,HD-Series,EXC-H-51189,2023-11-23,2023-12-12,completed
WO-01673,Excavator,HD-Series,EXC-H-50609,2025-01-16,2025-01-26,quality_hold
WO-01674,Grader,Standard,GRA-S-41283,2020-08-20,2020-08-27,completed
WO-01675,Loader,Standard,LOA-S-34720,2024-09-27,2024-10-04,completed
WO-01676,Excavator,Compact,EXC-C-12980,2020-08-20,2020-09-07,completed
WO-01677,Grader,Standard,GRA-S-13932,2022-03-13,2022-03-28,completed
WO-01678,Bulldozer,Compact,BUL-C-63343,2020-03-12,2020-03-23,quality_hold
WO-01679,Bulldozer,Standard,BUL-S-87310,2024-02-17,2024-03-05,completed
WO-01680,Loader,Standard,LOA-S-34501,2022-01-13,2022-02-01,completed
WO-01681,Excavator,Standard,EXC-S-69055,2020-08-23,2020-08-29,completed
WO-01682,Grader,HD-Series,GRA-H-34439,2020-11-18,2020-12-08,completed
WO-01683,Excavator,HD-Series,EXC-H-44253,2020-04-02,2020-04-20,completed
WO-01684,Grader,Standard,GRA-S-37419,2022-04-20,2022-05-05,completed
WO-01685,Bulldozer,Standard,BUL-S-67313,2024-07-09,2024-07-22,quality_hold
WO-01686,Bulldozer,Compact,BUL-C-52726,2022-12-20,2022-12-25,completed
WO-01687,Excavator,Compact,EXC-C-78473,2020-07-10,2020-07-30,completed
WO-01688,Grader,HD-Series,GRA-H-61481,2020-03-26,2020-04-15,completed
WO-01689,Loader,Compact,LOA-C-37378,2024-02-02,2024-02-11,completed
WO-01690,Loader,Standard,LOA-S-55801,2024-07-08,2024-07-19,completed
WO-01691,Bulldozer,Standard,BUL-S-52078,2024-03-05,2024-03-17,completed
WO-01692,Bulldozer,Compact,BUL-C-47640,2021-05-29,2021-06-08,completed
WO-01693,Grader,Standard,GRA-S-23017,2020-10-21,2020-11-01,completed
WO-01694,Loader,Compact,LOA-C-72074,2022-03-08,2022-03-18,completed
WO-01695,Grader,Compact,GRA-C-15445,2024-08-14,2024-08-30,completed
WO-01696,Excavator,Compact,EXC-C-65297,2024-02-02,2024-02-14,completed
WO-01697,Excavator,HD-Series,EXC-H-93202,2020-04-16,2020-04-28,completed
WO-01698,Grader,HD-Series,GRA-H-73524,2023-08-10,2023-08-19,completed
WO-01699,Bulldozer,Compact,BUL-C-59975,2024-11-22,2024-11-30,quality_hold
WO-01700,Loader,Compact,LOA-C-32138,2021-09-30,2021-10-14,completed
WO-01701,Loader,Compact,LOA-C-48344,2022-02-15,2022-02-20,completed
WO-01702,Excavator,Compact,EXC-C-62504,2021-11-08,2021-11-24,completed
WO-01703,Grader,HD-Series,GRA-H-82451,2020-08-09,2020-08-14,completed
WO-01704,Loader,HD-Series,LOA-H-89276,2022-06-10,2022-06-16,completed
WO-01705,Grader,Compact,GRA-C-42901,2021-12-21,2022-01-05,completed
WO-01706,Grader,Compact,GRA-C-35425,2024-05-13,2024-05-24,completed
WO-01707,Loader,HD-Series,LOA-H-19873,2021-01-22,2021-02-09,completed
WO-01708,Loader,HD-Series,LOA-H-16876,2022-12-02,2022-12-10,completed
WO-01709,Grader,Standard,GRA-S-66159,2021-12-12,2021-12-18,completed
WO-01710,Excavator,Standard,EXC-S-16778,2023-07-30,2023-08-16,completed
WO-01711,Grader,HD-Series,GRA-H-39992,2020-09-25,2020-10-12,completed
WO-01712,Loader,HD-Series,LOA-H-37584,2021-02-11,2021-02-20,completed
WO-01713,Loader,Compact,LOA-C-10331,2020-05-07,2020-05-12,completed
WO-01714,Grader,HD-Series,GRA-H-90629,2024-04-01,2024-04-18,completed
WO-01715,Bulldozer,Compact,BUL-C-66778,2024-06-28,2024-07-08,quality_hold
WO-01716,Excavator,Compact,EXC-C-40062,2024-04-09,2024-04-28,completed
WO-01717,Excavator,Compact,EXC-C-31573,2023-07-22,2023-08-06,completed
WO-01718,Loader,HD-Series,LOA-H-43400,2021-02-05,2021-02-13,completed
WO-01719,Bulldozer,Compact,BUL-C-57505,2022-05-09,2022-05-16,completed
WO-01720,Loader,Compact,LOA-C-52281,2021-12-24,2022-01-09,completed
WO-01721,Grader,HD-Series,GRA-H-74686,2021-10-20,2021-11-09,completed
WO-01722,Excavator,HD-Series,EXC-H-46036,2021-07-14,2021-07-20,completed
WO-01723,Excavator,Standard,EXC-S-66111,2020-02-22,2020-02-27,completed
WO-01724,Excavator,Compact,EXC-C-37594,2023-02-11,2023-02-21,completed
WO-01725,Grader,Standard,GRA-S-81400,2022-04-04,2022-04-16,completed
WO-01726,Loader,Standard,LOA-S-78259,2023-08-25,2023-09-07,quality_hold
WO-01727,Excavator,HD-Series,EXC-H-33843,2021-08-08,2021-08-23,completed
WO-01728,Grader,HD-Series,GRA-H-58090,2024-10-17,2024-10-30,completed
WO-01729,Excavator,Compact,EXC-C-63573,2024-10-20,2024-10-29,quality_hold
WO-01730,Excavator,HD-Series,EXC-H-43726,2022-11-23,2022-11-28,completed
WO-01731,Bulldozer,HD-Series,BUL-H-73531,2020-08-11,2020-08-20,completed
WO-01732,Loader,HD-Series,LOA-H-57513,2022-02-04,2022-02-10,completed
WO-01733,Loader,HD-Series,LOA-H-72524,2021-04-03,2021-04-17,completed
WO-01734,Loader,Standard,LOA-S-30103,2022-03-26,2022-04-04,quality_hold
WO-01735,Loader,Compact,LOA-C-95619,2023-07-03,2023-07-20,completed
WO-01736,Grader,Standard,GRA-S-71834,2021-05-01,2021-05-16,quality_hold
WO-01737,Grader,HD-Series,GRA-H-42250,2023-05-28,2023-06-11,completed
WO-01738,Grader,Compact,GRA-C-96199,2024-06-02,2024-06-18,completed
WO-01739,Loader,Compact,LOA-C-52115,2021-09-16,2021-10-05,quality_hold
WO-01740,Bulldozer,Standard,BUL-S-69139,2021-07-24,2021-08-10,completed
WO-01741,Grader,Compact,GRA-C-18808,2021-04-24,2021-05-13,completed
WO-01742,Loader,Compact,LOA-C-39180,2022-11-03,2022-11-14,completed
WO-01743,Excavator,HD-Series,EXC-H-67686,2020-10-24,2020-11-13,completed
WO-01744,Grader,Standard,GRA-S-52659,2020-05-24,2020-06-05,completed
WO-01745,Bulldozer,HD-Series,BUL-H-32128,2023-12-18,2023-12-25,completed
WO-01746,Grader,Standard,GRA-S-17207,2022-05-26,2022-06-10,completed
WO-01747,Loader,Standard,LOA-S-13640,2020-09-14,2020-09-27,completed
WO-01748,Bulldozer,Compact,BUL-C-10834,2024-05-03,2024-05-08,completed
